"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\kamp-frontend\carRental-Frontend\src\app\components\login\login.component.css", "CSS", 0, 0, 0, 0, 90, 0, 0, 13, 103
"c:\kamp-frontend\carRental-Frontend\src\app\components\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 138, 0, 5, 143
"c:\kamp-frontend\carRental-Frontend\src\app\components\login\login.component.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 13, 67
"c:\kamp-frontend\carRental-Frontend\src\app\components\navi\navi.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp-frontend\carRental-Frontend\src\app\components\navi\navi.component.html", "HTML", 0, 0, 0, 0, 0, 41, 13, 7, 61
"c:\kamp-frontend\carRental-Frontend\src\app\components\navi\navi.component.ts", "TypeScript", 0, 0, 0, 70, 0, 0, 0, 3, 73
"c:\kamp-frontend\carRental-Frontend\src\app\components\payment\payment.component.css", "CSS", 0, 0, 0, 0, 109, 0, 0, 27, 136
"c:\kamp-frontend\carRental-Frontend\src\app\components\payment\payment.component.html", "HTML", 0, 0, 0, 0, 0, 123, 0, 6, 129
"c:\kamp-frontend\carRental-Frontend\src\app\components\payment\payment.component.ts", "TypeScript", 0, 0, 0, 144, 0, 0, 10, 9, 163
"c:\kamp-frontend\carRental-Frontend\src\app\components\profile\profile.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp-frontend\carRental-Frontend\src\app\components\profile\profile.component.html", "HTML", 0, 0, 0, 0, 0, 279, 0, 4, 283
"c:\kamp-frontend\carRental-Frontend\src\app\components\profile\profile.component.ts", "TypeScript", 0, 0, 0, 146, 0, 0, 0, 9, 155
"c:\kamp-frontend\carRental-Frontend\src\app\components\register\register.component.css", "CSS", 0, 0, 0, 0, 90, 0, 0, 13, 103
"c:\kamp-frontend\carRental-Frontend\src\app\components\register\register.component.html", "HTML", 0, 0, 0, 0, 0, 147, 0, 5, 152
"c:\kamp-frontend\carRental-Frontend\src\app\components\register\register.component.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 2, 53
